check_id,status,check,expected,actual,evidence,workbook_sha256
W-E08,PASS,Escalation ESC-08 matches response plan,"('ESC-08', 'not_measured', 'MON-08', 'COV-08')","('ESC-08', 'not_measured', 'MON-08', 'COV-08')",Escalations!C14:N14,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-E19,PASS,Escalation summary D19,8,8,Escalations!D19,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-E20,PASS,Escalation summary D20,3,3,Escalations!D20,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-E21,PASS,Escalation summary D21,4,4,Escalations!D21,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-E22,PASS,Escalation summary D22,1,1,Escalations!D22,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-E23,PASS,Escalation summary D23,1,1,Escalations!D23,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-E24,PASS,Escalation summary D24,5,5,Escalations!D24,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-CM-S01,PASS,Control matrix summary D7,8,8,Control Matrix!D7,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-CM-S02,PASS,Control matrix summary D8,9,9,Control Matrix!D8,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-CM-S03,PASS,Control matrix summary D9,3,3,Control Matrix!D9,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-CM-S04,PASS,Control matrix summary D10,4,4,Control Matrix!D10,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-CM-S05,PASS,Control matrix summary D11,8,8,Control Matrix!D11,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-CM01,PASS,Control matrix row CTL-01 matches artifact,"('CTL-01', 'CP-01, CP-02, CP-03, CP-04', 'outstanding', 'MON-01', 'COV-01', 'ESC-01', 'Head of credit risk')","('CTL-01', 'CP-01, CP-02, CP-03, CP-04', 'outstanding', 'MON-01', 'COV-01', 'ESC-01', 'Head of credit risk')",Control Matrix!C15:O15,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-CM02,PASS,Control matrix row CTL-02 matches artifact,"('CTL-02', 'CP-01, CP-02, CP-03', 'outstanding', 'MON-02', 'COV-02', 'ESC-02', 'Credit and legal jointly')","('CTL-02', 'CP-01, CP-02, CP-03', 'outstanding', 'MON-02', 'COV-02', 'ESC-02', 'Credit and legal jointly')",Control Matrix!C16:O16,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-CM03,PASS,Control matrix row CTL-03 matches artifact,"('CTL-03', 'CP-04', 'outstanding', 'MON-03', 'COV-03', 'ESC-03', 'Collateral operations lead')","('CTL-03', 'CP-04', 'outstanding', 'MON-03', 'COV-03', 'ESC-03', 'Collateral operations lead')",Control Matrix!C17:O17,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-CM04,PASS,Control matrix row CTL-04 matches artifact,"('CTL-04', 'DD-01, DD-03', 'outstanding', 'MON-04', 'COV-04', 'ESC-04', 'Senior credit officer')","('CTL-04', 'DD-01, DD-03', 'outstanding', 'MON-04', 'COV-04', 'ESC-04', 'Senior credit officer')",Control Matrix!C18:O18,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-CM05,PASS,Control matrix row CTL-05 matches artifact,"('CTL-05', 'DD-01, DD-02', 'outstanding', 'MON-05', 'COV-05', 'ESC-05', 'Credit risk manager')","('CTL-05', 'DD-01, DD-02', 'outstanding', 'MON-05', 'COV-05', 'ESC-05', 'Credit risk manager')",Control Matrix!C19:O19,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-CM06,PASS,Control matrix row CTL-06 matches artifact,"('CTL-06', 'CP-02, DD-04', 'outstanding', 'MON-06', 'COV-06', 'ESC-06', 'Credit and legal jointly')","('CTL-06', 'CP-02, DD-04', 'outstanding', 'MON-06', 'COV-06', 'ESC-06', 'Credit and legal jointly')",Control Matrix!C20:O20,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-CM07,PASS,Control matrix row CTL-07 matches artifact,"('CTL-07', 'PF-01', 'outstanding', 'MON-07', 'COV-07', 'ESC-07', 'Portfolio risk lead')","('CTL-07', 'PF-01', 'outstanding', 'MON-07', 'COV-07', 'ESC-07', 'Portfolio risk lead')",Control Matrix!C21:O21,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-CM08,PASS,Control matrix row CTL-08 matches artifact,"('CTL-08', 'DD-01, DD-02, DD-03, DD-04', 'outstanding', 'MON-08', 'COV-08', 'ESC-08', 'Credit administration lead')","('CTL-08', 'DD-01, DD-02, DD-03, DD-04', 'outstanding', 'MON-08', 'COV-08', 'ESC-08', 'Credit administration lead')",Control Matrix!C22:O22,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-MR-S01,PASS,Model-risk summary D7,8,8,Model Risks!D7,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-MR-S02,PASS,Model-risk summary D8,3,3,Model Risks!D8,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-MR-S03,PASS,Model-risk summary D9,4,4,Model Risks!D9,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-MR-S04,PASS,Model-risk summary D10,4,4,Model Risks!D10,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-MR01,PASS,Model-risk row MR-01 matches artifact,"('MR-01', 'input', 'critical', 'open', 'ASM-C002, ASM-C003', 'CP-01, CP-02, CP-03, CP-04', 'Credit and collateral operations')","('MR-01', 'input', 'critical', 'open', 'ASM-C002, ASM-C003', 'CP-01, CP-02, CP-03, CP-04', 'Credit and collateral operations')",Model Risks!C15:O15,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-MR02,PASS,Model-risk row MR-02 matches artifact,"('MR-02', 'repayment', 'critical', 'open', 'ASM-C001, ASM-C004', 'DD-01, DD-02, DD-03, DD-04', 'Senior credit officer')","('MR-02', 'repayment', 'critical', 'open', 'ASM-C001, ASM-C004', 'DD-01, DD-02, DD-03, DD-04', 'Senior credit officer')",Model Risks!C16:O16,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-MR03,PASS,Model-risk row MR-03 matches artifact,"('MR-03', 'legal', 'critical', 'open', 'ASM-C007', 'CP-01, CP-02, CP-03', 'Legal')","('MR-03', 'legal', 'critical', 'open', 'ASM-C007', 'CP-01, CP-02, CP-03', 'Legal')",Model Risks!C17:O17,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-MR04,PASS,Model-risk row MR-04 matches artifact,"('MR-04', 'market_data', 'high', 'open', 'ASM-C003', 'CP-04', 'Market risk and collateral operations')","('MR-04', 'market_data', 'high', 'open', 'ASM-C003', 'CP-04', 'Market risk and collateral operations')",Model Risks!C18:O18,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-MR05,PASS,Model-risk row MR-05 matches artifact,"('MR-05', 'methodology', 'high', 'open', 'ASM-C004', 'DD-01, DD-03, DD-04', 'Credit methodology')","('MR-05', 'methodology', 'high', 'open', 'ASM-C004', 'DD-01, DD-03, DD-04', 'Credit methodology')",Model Risks!C19:O19,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-MR06,PASS,Model-risk row MR-06 matches artifact,"('MR-06', 'portfolio', 'high', 'open', 'ASM-C005', 'PF-01', 'Portfolio risk')","('MR-06', 'portfolio', 'high', 'open', 'ASM-C005', 'PF-01', 'Portfolio risk')",Model Risks!C20:O20,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-MR07,PASS,Model-risk row MR-07 matches artifact,"('MR-07', 'operations', 'high', 'open', 'ASM-C006', 'CP-04', 'Treasury and operations')","('MR-07', 'operations', 'high', 'open', 'ASM-C006', 'CP-04', 'Treasury and operations')",Model Risks!C21:O21,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-MR08,PASS,Model-risk row MR-08 matches artifact,"('MR-08', 'implementation', 'medium', 'open', 'None', 'None', 'Independent model reviewer')","('MR-08', 'implementation', 'medium', 'open', 'None', 'None', 'Independent model reviewer')",Model Risks!C22:O22,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-A01,PASS,Assumption ASM-C001 governance matches register,"('ASM-C001', 'high', 'unvalidated')","('ASM-C001', 'high', 'unvalidated')",Assumptions!C45:E45,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-A02,PASS,Assumption ASM-C002 governance matches register,"('ASM-C002', 'critical', 'unvalidated')","('ASM-C002', 'critical', 'unvalidated')",Assumptions!C46:E46,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-A03,PASS,Assumption ASM-C003 governance matches register,"('ASM-C003', 'critical', 'unvalidated')","('ASM-C003', 'critical', 'unvalidated')",Assumptions!C47:E47,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-A04,PASS,Assumption ASM-C004 governance matches register,"('ASM-C004', 'high', 'unvalidated')","('ASM-C004', 'high', 'unvalidated')",Assumptions!C48:E48,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-A05,PASS,Assumption ASM-C005 governance matches register,"('ASM-C005', 'high', 'unvalidated')","('ASM-C005', 'high', 'unvalidated')",Assumptions!C49:E49,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-A06,PASS,Assumption ASM-C006 governance matches register,"('ASM-C006', 'high', 'unvalidated')","('ASM-C006', 'high', 'unvalidated')",Assumptions!C50:E50,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-A07,PASS,Assumption ASM-C007 governance matches register,"('ASM-C007', 'critical', 'unvalidated')","('ASM-C007', 'critical', 'unvalidated')",Assumptions!C51:E51,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-003,PASS,Summary funding gate links to Conditions,'Conditions'!D10,'Conditions'!D10,Summary!D16,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-004,PASS,Workbook condition count,9,9,Conditions!D8,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-005,PASS,Workbook outstanding-condition count,9,9,Conditions!D9,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-006,PASS,Workbook funding gate,BLOCKED PENDING CONDITIONS,BLOCKED PENDING CONDITIONS,Conditions!D10,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-007,PASS,Workbook funding-gate formula,"IF(D9>0,""BLOCKED PENDING CONDITIONS"",""CLEARED TO FUND"")","IF(D9>0,""BLOCKED PENDING CONDITIONS"",""CLEARED TO FUND"")",Conditions!D10,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-081,PASS,Condition CP-01 matches case register,CP-01|outstanding|ASM-C007|yes,CP-01|outstanding|ASM-C007|yes,Conditions!C14:K14,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-082,PASS,Condition CP-02 matches case register,CP-02|outstanding|ASM-C007|yes,CP-02|outstanding|ASM-C007|yes,Conditions!C15:K15,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-083,PASS,Condition CP-03 matches case register,CP-03|outstanding|ASM-C007|yes,CP-03|outstanding|ASM-C007|yes,Conditions!C16:K16,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-084,PASS,Condition CP-04 matches case register,CP-04|outstanding|ASM-C007|yes,CP-04|outstanding|ASM-C007|yes,Conditions!C17:K17,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-085,PASS,Condition DD-01 matches case register,DD-01|outstanding|ASM-C001|yes,DD-01|outstanding|ASM-C001|yes,Conditions!C18:K18,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-086,PASS,Condition DD-02 matches case register,DD-02|outstanding|ASM-C001|yes,DD-02|outstanding|ASM-C001|yes,Conditions!C19:K19,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-087,PASS,Condition DD-03 matches case register,DD-03|outstanding|ASM-C001|yes,DD-03|outstanding|ASM-C001|yes,Conditions!C20:K20,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-088,PASS,Condition DD-04 matches case register,DD-04|outstanding|ASM-C001|yes,DD-04|outstanding|ASM-C001|yes,Conditions!C21:K21,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-089,PASS,Condition PF-01 matches case register,PF-01|outstanding|ASM-C005|yes,PF-01|outstanding|ASM-C005|yes,Conditions!C22:K22,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-010,PASS,Assumption D8 matches case input,5000000,5000000,Assumptions!D8,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-011,PASS,Assumption D9 matches case input,5000000,5000000,Assumptions!D9,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-012,PASS,Assumption D10 matches case input,50000,50000,Assumptions!D10,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-013,PASS,Assumption D12 matches case input,1.25,1.25,Assumptions!D12,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-014,PASS,Assumption D13 matches case input,7500000,7500000,Assumptions!D13,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-015,PASS,Assumption D14 matches case input,100000,100000,Assumptions!D14,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-016,PASS,Assumption D18 matches case input,4000000,4000000,Assumptions!D18,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-017,PASS,Assumption D19 matches case input,1,1,Assumptions!D19,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-018,PASS,Assumption D20 matches case input,0.02,0.02,Assumptions!D20,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-019,PASS,Assumption D21 matches case input,0.005,0.005,Assumptions!D21,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-020,PASS,Assumption D22 matches case input,2,2,Assumptions!D22,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-021,PASS,Assumption D23 matches case input,0.00125,0.00125,Assumptions!D23,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-022,PASS,Assumption D24 matches case input,20000,20000,Assumptions!D24,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-023,PASS,Assumption D32 matches case input,6000000,6000000,Assumptions!D32,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-030,PASS,Summary D8 matches engine base case,5000000.00,5000000,Summary!D8,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-031,PASS,Summary D10 matches engine base case,7500000.00,7500000,Summary!D10,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-032,PASS,Summary D11 matches engine base case,3046480.00,3046480,Summary!D11,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-033,PASS,Summary D12 matches engine base case,6000000.00,6000000,Summary!D12,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-034,PASS,Summary D13 matches engine base case,4000000.00,4000000,Summary!D13,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-035,PASS,Summary D14 matches engine base case,3000000.00,3000000,Summary!D14,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-036,PASS,Summary D18 matches engine base case,3870600.00,3870600,Summary!D18,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-037,PASS,Summary D19 matches engine base case,3870600.00,3870600,Summary!D19,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-038,PASS,Summary D20 matches engine base case,5050000.00,5050000,Summary!D20,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-039,PASS,Summary D21 matches engine base case,1179400.00,1179400,Summary!D21,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-040,PASS,Summary D22 matches engine base case,3050000.00,3050000,Summary!D22,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-041,PASS,Summary D23 matches engine base case,820600.00,820600,Summary!D23,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-040,PASS,Summary binding formula,"IF(D9=""YES"",0,FLOOR(MIN(D8,D10:D13),'Assumptions'!D14))","IF(D9=""YES"",0,FLOOR(MIN(D8,D10:D13),'Assumptions'!D14))",Summary!D14,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
